ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Genre Principal;Genres Secondaires;Image-URL-L;Moyenne_Adolescent 12-17;Moyenne_Adulte 26-35;Moyenne_Adulte 36-50;Moyenne_Enfant 1-12;Moyenne_Jeune adulte 18-25;Moyenne_Senior 50+
0140286802;Collected Fictions;Jorge Luis Borges;1999-01-01;Penguin Books;Fiction;Short Stories, Classics, Literature, Fantasy, Magical Realism, Philosophy, Cultural, Latin American, European Literature, Spanish Literature, Literary Fiction;http://images.amazon.com/images/P/0140286802.01.LZZZZZZZ.jpg;;;;;5.0;
0140288481;Hunger: A Novella and Stories;Lan Samantha Chang;2000-01-01;Penguin Books;Short Stories;Fiction, Historical, Historical Fiction, Cultural, China, Literary Fiction, Literature, Contemporary, Adult Fiction, Realistic Fiction, Literature, American;http://images.amazon.com/images/P/0140288481.01.LZZZZZZZ.jpg;;7.0;5.0;;;
0140290117;Selected Non-Fictions;Jorge Luis Borges;2000-01-01;Penguin Books;Nonfiction;Writing, Essays, Philosophy, Criticism, Literary Criticism, Literature, European Literature, Spanish Literature, Classics, Cultural, Latin American, Criticism, Literature, 20th Century;http://images.amazon.com/images/P/0140290117.01.LZZZZZZZ.jpg;;5.0;;;;
0140291873;Syrup;Maxx Barry;2000-01-01;Penguin Books;Fiction;Humor, Contemporary, Novels, Literature, Humor, Comedy, Audiobook, Business, Adult, Adult Fiction;http://images.amazon.com/images/P/0140291873.01.LZZZZZZZ.jpg;;7.0;;;;
0140298517;The Basque History of the World;Mark Kurlansky;2001-01-01;Penguin Books;History;Nonfiction, Cultural, Spain, Travel, History, European History, Politics, Cultural, France, Historical, Audiobook, Anthropology;http://images.amazon.com/images/P/0140298517.01.LZZZZZZZ.jpg;;;8.166666666666666;;;
0140298541;My War Gone By, I Miss It So;Anthony Loyd;2001-01-01;Penguin Books;Nonfiction;History, War, Autobiography, Memoir, Writing, Journalism, Biography, War, Military Fiction, Military, Military History, Politics, History, European History;http://images.amazon.com/images/P/0140298541.01.LZZZZZZZ.jpg;;;;;10.0;
0140299939;World's End (Contemporary American Fiction);T. Coraghessan Boyle;1990-01-01;Penguin Books;Fiction;Historical, Historical Fiction, Novels, Literature, Contemporary, Literature, American, The United States Of America, Literary Fiction, Historical, Short Stories;http://images.amazon.com/images/P/0140299939.01.LZZZZZZZ.jpg;;8.0;;;;8.0
0140299947;Descent of Man: Stories (Contemporary American Fiction);T. Coraghessan Boyle;1990-01-01;Penguin Books;Fiction;Short Stories, Literature, American, Literature, 20th Century, Humor, Comedy, Short Stories, Short Story Collection, The United States Of America, Humor, Literary Fiction, Modern;http://images.amazon.com/images/P/0140299947.01.LZZZZZZZ.jpg;;;7.0;;;
0140309594;Pippi Goes on Board;Astrid Lindgren;1988-01-01;Puffin Books;Childrens;Fiction, Classics, Adventure, Fantasy, Childrens, Middle Grade, Humor, European Literature, Swedish Literature, Young Adult, European Literature, Scandinavian Literature;http://images.amazon.com/images/P/0140309594.01.LZZZZZZZ.jpg;;;10.0;;;
0140345809;House of Stairs;William Sleator;1991-01-01;Puffin Books;Young Adult;Science Fiction, Fiction, Horror, Science Fiction, Dystopia, Young Adult, Teen, Fantasy, Thriller, Childrens, Speculative Fiction;http://images.amazon.com/images/P/0140345809.01.LZZZZZZZ.jpg;8.0;;;;7.0;
0140345825;Strange Attractors;William Sleator;1991-01-01;Puffin Books;Science Fiction;Young Adult, Fiction, Speculative Fiction, Childrens, Adventure, Novels;http://images.amazon.com/images/P/0140345825.01.LZZZZZZZ.jpg;;;;;10.0;
0140367357;Five Children and It (Puffin Classics - the Essential Collection);E. Nesbit;1996-01-01;Puffin Books;Fantasy;Classics, Childrens, Fiction, Childrens, Middle Grade, Young Adult, Adventure, Audiobook, Fantasy, Magic, European Literature, British Literature;http://images.amazon.com/images/P/0140367357.01.LZZZZZZZ.jpg;;;10.0;;8.0;
0140367438;The Enchanted Castle (Puffin Classics);E. Nesbit;2004-01-01;Puffin Books;Fantasy;Classics, Childrens, Fiction, Young Adult, Childrens, Middle Grade, Fantasy, Magic, Adventure, European Literature, British Literature, Childrens, Juvenile;http://images.amazon.com/images/P/0140367438.01.LZZZZZZZ.jpg;;8.0;;;;
0140369260;Anne Frank: Beyond the Diary : A Photographic Remembrance;Ruud Van Der Rol;1995-01-01;Puffin Books;History;Nonfiction, Biography, World War II, Holocaust, Classics, War, World War II, Historical, War, Autobiography, Memoir, Literature, Jewish;http://images.amazon.com/images/P/0140369260.01.LZZZZZZZ.jpg;;;;;;10.0
0140374388;Oddballs: Stories;William Sleator;1995-01-01;Puffin Books;Young Adult;Humor, Fiction, Childrens, Childrens, Juvenile, Childrens, Young Readers;http://images.amazon.com/images/P/0140374388.01.LZZZZZZZ.jpg;;;;;8.0;
0140389660;That Was Then, This Is Now;S. E. Hinton;1998-01-01;Penguin Putnam Books for Young Readers;Young Adult;Fiction, Classics, Realistic Fiction, Young Adult, Coming Of Age, Contemporary, Young Adult, Teen, Academic, School, Childrens, Novels;http://images.amazon.com/images/P/0140389660.01.LZZZZZZZ.jpg;9.0;10.0;;;;
0140422153;William Blake: The Complete Poems (Penguin English Poets);William Blake;1978-01-01;Penguin Books;Poetry;Classics, Literature, Fiction, Medievalism, Romanticism, European Literature, British Literature, Literature, 19th Century, Literature, English Literature, Literature, 18th Century, Classics, Classic Literature;http://images.amazon.com/images/P/0140422153.01.LZZZZZZZ.jpg;;;10.0;;;
0140424385;The Canterbury Tales (Penguin Classics);Geoffrey Chaucer;2003-01-01;Penguin Books;Classics;Fiction, Poetry, Literature, Academic, School, Historical, Medieval, Short Stories, Historical, Historical Fiction, Classics, Classic Literature, Academic, Read For School;http://images.amazon.com/images/P/0140424385.01.LZZZZZZZ.jpg;;;;;;10.0
014043089X;De Profundis and Other Writings (Penguin Classics);Oscar Wilde;1976-01-01;Penguin Books;Classics;Nonfiction, Writing, Essays, Poetry, Literature, Biography, Autobiography, Memoir, Philosophy, Literature, 19th Century, European Literature, Irish Literature;http://images.amazon.com/images/P/014043089X.01.LZZZZZZZ.jpg;;;;;8.0;
0140434259;Sense and Sensibility;Jane Austen;1999-01-01;Penguin USA (Paper);Classics;Fiction, Romance, Historical, Historical Fiction, Literature, Historical, Audiobook, Literature, 19th Century, Classics, Classic Literature, European Literature, British Literature;http://images.amazon.com/images/P/0140434259.01.LZZZZZZZ.jpg;;8.5;10.0;;7.25;
0140436995;Selected Poems (Penguin Classics);Thomas Hardy;1998-01-01;Penguin Books;Poetry;Classics, Literature, European Literature, British Literature, Literature, 19th Century, Fiction, Literature, 20th Century, Academic, School, Classics, Classic Literature, Death;http://images.amazon.com/images/P/0140436995.01.LZZZZZZZ.jpg;;;;;;10.0
0140437509;Three Men in a Boat and Three Men on the Bummel;Jerome K. Jerome;2000-01-01;Penguin Books;Classics;Fiction, Humor, Literature, Travel, Humor, Comedy, Literature, 19th Century, European Literature, British Literature, Novels, Historical, Victorian;http://images.amazon.com/images/P/0140437509.01.LZZZZZZZ.jpg;;10.0;9.0;;;
0140440224;The Canterbury Tales, in Modern English;Geoffrey Chaucer;2000-01-01;Penguin USA (Paper);Classics;Fiction, Poetry, Literature, Academic, School, Short Stories, Historical, Medieval, Historical, Historical Fiction, Classics, Classic Literature, Academic, Read For School;http://images.amazon.com/images/P/0140440224.01.LZZZZZZZ.jpg;;6.5;8.666666666666666;;6.75;
0140440283;Electra and Other Plays (Classics S.);Sophocles;1953-01-01;Penguin Books;Classics;Plays, Drama, Fiction, Fantasy, Mythology, Plays, Theatre, Tragedy, Poetry, Cultural, Greece, Literature;http://images.amazon.com/images/P/0140440283.01.LZZZZZZZ.jpg;;;;;;8.0
0140440348;Herodotus The Histories;Herodotus;1971-01-01;Penguin Putnam~trade;History;Classics, Nonfiction, History, Ancient History, Cultural, Greece, Literature, Ancient, Historical, Philosophy, Literature, Fantasy, Mythology;http://images.amazon.com/images/P/0140440348.01.LZZZZZZZ.jpg;;;;;7.0;
0140441123;Prometheus Bound/the Suppliants/Seven Against Thebes/the Persians (Penguin Classics);Philip Vellacott;1961-01-01;Penguin Books;Classics;Plays, Drama, Fiction, Fantasy, Mythology, Poetry, Literature, Cultural, Greece, Plays, Theatre, Literature, Ancient;http://images.amazon.com/images/P/0140441123.01.LZZZZZZZ.jpg;;;;;;10.0
0140441379;Nibelungenlied (Classics S.);A.T. Hatto;1965-01-01;Penguin Books;Classics;Poetry, Fantasy, Mythology, Fiction, European Literature, German Literature, Historical, Medieval, Literature, Fantasy, Epic, Cultural, Germany;http://images.amazon.com/images/P/0140441379.01.LZZZZZZZ.jpg;;;;;;8.0
0140442413;The Agricola and the Germania: And the Germania (Penguin Classics);Cornelius Tacitus;1971-01-01;Penguin Books;History;Classics, Nonfiction, History, Ancient History, Biography, Roman, Literature, Ancient, Cultural, Germany, Historical, Humanities, Classical Studies;http://images.amazon.com/images/P/0140442413.01.LZZZZZZZ.jpg;;9.0;;;;
0140442529;Notes from Underground the Double: The Double (Penguin Classics);Fyodor Dostoyevsky;1972-01-01;Penguin Books;Classics;Fiction, Cultural, Russia, Literature, Russian Literature, Literature, Philosophy, Literature, 19th Century, Psychology, Novels, Literary Fiction;http://images.amazon.com/images/P/0140442529.01.LZZZZZZZ.jpg;;9.5;;;;
0140442758;Phaedrus and the Seventh and Eighth Letters: And, the Seventh and Eighth Letters (Penguin Classics);Plato;1977-01-01;Penguin Books;Philosophy;Classics, Nonfiction, Literature, Humanities, Classical Studies, Philosophy, Theory;http://images.amazon.com/images/P/0140442758.01.LZZZZZZZ.jpg;;;;;7.0;
014044307X;Love (Penguin Classics);Marie Henri Beyle;1975-01-01;Penguin Books;Classics;Philosophy, Nonfiction, Cultural, France, Writing, Essays, European Literature, French Literature, Love, Literature, Literature, 19th Century, Romance;http://images.amazon.com/images/P/014044307X.01.LZZZZZZZ.jpg;;7.0;;;;
014044310X;Orlando Furioso, Part Two (Penguin Classics);Ludvico Aristo;1977-01-01;Penguin Books;Poetry;Classics, Fiction, Epic, European Literature, Italian Literature, Fantasy, Cultural, Italy, Literature, 16th Century, Literature, Humor;http://images.amazon.com/images/P/014044310X.01.LZZZZZZZ.jpg;;;;;;10.0
0140443339;The Oresteia (Penguin Classics);Aeschylus;1984-01-01;Penguin Books;Classics;Plays, Drama, Fiction, Fantasy, Mythology, Poetry, Literature, Plays, Theatre, Academic, School, Literature, Ancient;http://images.amazon.com/images/P/0140443339.01.LZZZZZZZ.jpg;;;;;;8.0
0140443878;The Earth (Penguin Classics);Emile Zola;1980-01-01;Penguin Books;Classics;Fiction, Cultural, France, European Literature, French Literature, Literature, 19th Century, Literature, Novels, Historical, Historical Fiction, Roman, Literary Fiction;http://images.amazon.com/images/P/0140443878.01.LZZZZZZZ.jpg;;8.0;;;;
0140444084;Geoffrey Chaucer: Love Visions;Chaucer;1983-01-01;Penguin Books;Poetry;Classics, Historical, Medieval, Academic, School, Literature, European Literature, British Literature, Literature, 14th Century, Middle English Li..., Geoffrey Chaucer;http://images.amazon.com/images/P/0140444084.01.LZZZZZZZ.jpg;;;9.0;;;
0140444254;Three Theban Plays, The;Sophocles;2000-01-01;Penguin USA (Paper);Classics;Plays, Drama, Fiction, Fantasy, Mythology, Academic, School, Literature, Plays, Theatre, Poetry, Academic, Read For School;http://images.amazon.com/images/P/0140444254.01.LZZZZZZZ.jpg;;8.0;4.0;;;8.0
0140444416;The Divine Comedy: Inferno (Penguin Classics);Dante Alighieri;1994-01-01;Penguin Books;Classics;Poetry, Fiction, Literature, Religion, Fantasy, Academic, School, Philosophy, European Literature, Italian Literature, Historical, Medieval;http://images.amazon.com/images/P/0140444416.01.LZZZZZZZ.jpg;;6.666666666666667;10.0;;;
0140444572;The Aeneid (Penguin Classics);Virgil;1991-01-01;Penguin Books;Classics;Poetry, Fiction, Fantasy, Mythology, Literature, Academic, School, Fantasy, Epic, Literature, Ancient, Classics, Classic Literature;http://images.amazon.com/images/P/0140444572.01.LZZZZZZZ.jpg;;;;;;10.0
0140445145;Twilight of the Idols and the Anti Christ (Penguin Classics);R.J. Hollingdale;1990-01-01;Penguin Books;Philosophy;Nonfiction, Classics, Religion, European Literature, German Literature, Literature, 19th Century, History, Psychology, Cultural, Germany, Philosophy, Theory;http://images.amazon.com/images/P/0140445145.01.LZZZZZZZ.jpg;;7.0;;;9.0;
0140446389;Herodotus: The Histories (Penguin Classics);Herodotus;1996-01-01;Penguin Books;History;Classics, Nonfiction, History, Ancient History, Cultural, Greece, Literature, Ancient, Historical, Philosophy, Literature, Fantasy, Mythology;http://images.amazon.com/images/P/0140446389.01.LZZZZZZZ.jpg;;6.5;;;;
0140447806;The Consolation of Philosophy (Penguin Classics);Boethius;2000-01-01;Penguin Books;Philosophy;Classics, Nonfiction, Religion, Historical, Medieval, Poetry, Religion, Theology, History, Academic, School, Religion, Christianity;http://images.amazon.com/images/P/0140447806.01.LZZZZZZZ.jpg;;;8.0;;;
0140449116;Odyssey (Penguin Classics);Homer;2003-01-01;Penguin Books;Classics;Fiction, Poetry, Fantasy, Mythology, Fantasy, Academic, School, Literature, Adventure, Academic, Read For School, Historical, Historical Fiction;http://images.amazon.com/images/P/0140449116.01.LZZZZZZZ.jpg;;;;;;10.0
0140449124;Madame Bovary;Gustave Flaubert;2003-01-01;Penguin Books;Classics;Fiction, Cultural, France, Literature, European Literature, French Literature, Romance, Literature, 19th Century, Novels, Historical, Historical Fiction, Classics, Classic Literature;http://images.amazon.com/images/P/0140449124.01.LZZZZZZZ.jpg;;7.666666666666667;;;10.0;8.0
0140449280;The Last Days of Socrates (Penguin Classics);Plato;2003-01-01;Penguin Books;Philosophy;Classics, Nonfiction, History, Academic, School, Biography, Politics, Literature, Ancient, Literature, Academic, College;http://images.amazon.com/images/P/0140449280.01.LZZZZZZZ.jpg;;10.0;;;;
0140481397;1776: A Musical Play (Penguin Plays);Peter Stone;1976-01-01;Penguin Books;Plays;History, Drama, Plays, Theatre, North American Hi..., American History, Music, Music, Musicals, Historical, Humor, Military History, American Revolution;http://images.amazon.com/images/P/0140481397.01.LZZZZZZZ.jpg;;8.0;;;8.0;
0140502017;Time of Wonder (Picture Puffin Books (Paperback));Robert McCloskey;1989-01-01;Puffin Books;Childrens;Picture Books, Childrens, Fiction, Environment, Nature, Classics, Realistic Fiction, Family, Childrens, Juvenile, Art, Childrens, 2nd Grade;http://images.amazon.com/images/P/0140502017.01.LZZZZZZZ.jpg;;;;5.0;;
0140620125;Wuthering Heights (Penguin Popular Classics);Emily Bronte;1994-01-01;Penguin Books Ltd;Classics;Fiction, Romance, Gothic, Historical, Historical Fiction, Literature, Literature, 19th Century, Novels, Historical, Classics, Classic Literature;http://images.amazon.com/images/P/0140620125.01.LZZZZZZZ.jpg;;9.5;9.0;;7.166666666666667;7.0
0140620478;Far from the Madding Crowd (Penguin Popular Classics);Thomas Hardy;1994-01-01;Penguin Books Ltd;Classics;Fiction, Romance, Historical, Historical Fiction, Literature, 19th Century, Literature, Historical, Victorian, European Literature, British Literature, Novels, Classics, Classic Literature;http://images.amazon.com/images/P/0140620478.01.LZZZZZZZ.jpg;;8.5;8.0;;6.0;
0140620621;Moby Dick (Penguin Popular Classics);Herman Melville;1994-01-01;Penguin Books Ltd;Classics;Fiction, Literature, Adventure, Historical, Historical Fiction, Novels, Literature, American, Literature, 19th Century, Classics, Classic Literature, Audiobook;http://images.amazon.com/images/P/0140620621.01.LZZZZZZZ.jpg;;10.0;10.0;;;
014062063X;Dracula (Penguin Popular Classics);Bram Stoker;1994-01-01;Penguin Books Ltd;Classics;Horror, Fiction, Fantasy, Paranormal, Vampires, Gothic, Fantasy, Paranormal, Literature, Audiobook, Literature, 19th Century;http://images.amazon.com/images/P/014062063X.01.LZZZZZZZ.jpg;10.0;5.5;8.5;;8.1;
0140620664;Mansfield Park (Penguin Popular Classics);Jane Austen;1994-01-01;Penguin Books Ltd;Classics;Fiction, Romance, Historical, Historical Fiction, Literature, Historical, Literature, 19th Century, European Literature, British Literature, Audiobook, Classics, Classic Literature;http://images.amazon.com/images/P/0140620664.01.LZZZZZZZ.jpg;;8.5;6.0;;9.25;
0140620850;Vanity Fair (Penguin Popular Classics);William Makepeace Thackeray;1994-01-01;Penguin Books Ltd;Classics;Fiction, Historical, Historical Fiction, Literature, Literature, 19th Century, Romance, European Literature, British Literature, Historical, Victorian, Classics, Classic Literature, Novels;http://images.amazon.com/images/P/0140620850.01.LZZZZZZZ.jpg;;10.0;;;6.5;10.0
0140621334;Three Men in a Boat, to Say Nothing of the Dog! (Penguin Popular Classics);Jerome K. Jerome;1994-01-01;Penguin Books Ltd;Classics;Fiction, Humor, Travel, Humor, Comedy, European Literature, British Literature, Literature, 19th Century, Literature, Adventure, Audiobook;http://images.amazon.com/images/P/0140621334.01.LZZZZZZZ.jpg;;8.0;10.0;;9.0;8.0
0140621628;The Railway Children (Penguin Popular Classics);E. Nesbit;1995-01-01;Penguin Books Ltd;Classics;Childrens, Fiction, Childrens, Middle Grade, Historical, Historical Fiction, Adventure, Young Adult, Audiobook, Childrens, Childrens Classics, European Literature, British Literature;http://images.amazon.com/images/P/0140621628.01.LZZZZZZZ.jpg;;8.0;;;;
0140714553;A Midsummer Night's Dream (Pelican Shakespeare);William Shakespeare;2000-01-01;Penguin Books;Classics;Plays, Fiction, Fantasy, Drama, Academic, School, Romance, Plays, Theatre, Poetry, Literature;http://images.amazon.com/images/P/0140714553.01.LZZZZZZZ.jpg;;7.0;;;10.0;
0140714588;The Life of King Henry the Fifth (Pelican Shakespeare);William Shakespeare;1999-01-01;Penguin Books;Classics;Plays, Drama, Fiction, Historical, Historical Fiction, Plays, Theatre, Literature, Poetry, Academic, School, Historical;http://images.amazon.com/images/P/0140714588.01.LZZZZZZZ.jpg;;;;;8.0;
0140771972;The Great Gatsby -- Penguin Critical Studies Guide;F. Scott Fitzgerald;1999-01-01;Penguin Books;Classics;Fiction, Criticism, Literary Criticism, Classics, Classic Literature, Literature, The United States Of America;http://images.amazon.com/images/P/0140771972.01.LZZZZZZZ.jpg;;8.0;;;;
0141001828;In the Heart of the Sea: The Tragedy of the Whaleship Essex;Nat Philbrick;2001-01-01;Penguin Books;History;Nonfiction, Adventure, Historical, Adventure, Survival, North American Hi..., American History, Audiobook, Biography, Travel, Adventure, Maritime;http://images.amazon.com/images/P/0141001828.01.LZZZZZZZ.jpg;;8.25;9.0;;;9.5
0141007338;About a Boy;Nick Hornby;2002-01-01;Penguin Books Ltd;Fiction;Contemporary, Humor, Novels, European Literature, British Literature, Humor, Comedy, Adult, Adult Fiction, Literature, Young Adult, Coming Of Age;http://images.amazon.com/images/P/0141007338.01.LZZZZZZZ.jpg;;7.933333333333334;7.5;;8.0;
0141180633;Vineland;Thomas Pynchon;1997-01-01;Penguin Books;Fiction;Literature, Novels, Literature, American, Literary Fiction, Literature, 20th Century, Classics, The United States Of America, Humor, Contemporary;http://images.amazon.com/images/P/0141180633.01.LZZZZZZZ.jpg;;6.5;;;;
0141180676;Pan: From the Papers of Lieutenant Thomas Glahn (Penguin Twentieth-Century Classics);Knut Hamsun;1998-01-01;Penguin Books;Fiction;Classics, European Literature, Scandinavian Literature, Literature, Novels, Literature, 19th Century, Romance, Nobel Prize, Literary Fiction, Fantasy;http://images.amazon.com/images/P/0141180676.01.LZZZZZZZ.jpg;;8.0;;;;
0141182679;On the Road (Penguin Modern Classics);Jack Kerouac;2000-01-01;Penguin Books Ltd;Classics;Fiction, Travel, Literature, Novels, Literature, American, Adventure, Literature, 20th Century, Classics, Modern Classics, Unfinished;http://images.amazon.com/images/P/0141182679.01.LZZZZZZZ.jpg;;;4.0;;;
0141182806;Ulysses (Penguin Modern Classics);James Joyce;2000-01-01;Penguin Books Ltd;Classics;Fiction, Literature, Novels, Cultural, Ireland, European Literature, Irish Literature, Literature, 20th Century, Unfinished, Literary Fiction, Literature, Banned Books;http://images.amazon.com/images/P/0141182806.01.LZZZZZZZ.jpg;;7.0;;;;
0141185473;Angle of Repose (Penguin Twentieth-Century Classics);Wallace Stegner;2000-01-01;Penguin Books;Fiction;Historical, Historical Fiction, Classics, Westerns, Literature, Literary Fiction, Novels, Historical, Book Club, Audiobook;http://images.amazon.com/images/P/0141185473.01.LZZZZZZZ.jpg;;;;;8.0;
0141186178;A Fairly Honourable Defeat (Penguin Twentieth Century Classics);Iris Murdoch;2001-01-01;Penguin Books;Fiction;Classics, Literature, European Literature, British Literature, Novels, Literary Fiction, Literature, 20th Century, Philosophy, European Literature, Irish Literature, LGBT;http://images.amazon.com/images/P/0141186178.01.LZZZZZZZ.jpg;;;5.0;;5.0;
0141187565;Moonraker (Penguin Modern Classics);Ian Fleming;2004-01-01;Penguin Books;Fiction;Thriller, Spy Thriller, Espionage, Mystery, Adventure, Classics, Audiobook, Thriller, Mystery Thriller, Mystery, Crime, Thriller, Spy Thriller;http://images.amazon.com/images/P/0141187565.01.LZZZZZZZ.jpg;;;9.0;;;
0141301066;Matilda;Roald Dahl;1998-01-01;Puffin Books;Childrens;Fiction, Classics, Fantasy, Childrens, Middle Grade, Young Adult, Humor, Audiobook, Fantasy, Magic, Academic, School;http://images.amazon.com/images/P/0141301066.01.LZZZZZZZ.jpg;;10.0;10.0;10.0;9.0;
0141305959;The Shakespeare Stealer (Shakespeare Stealer);Gary Blackwood;2000-01-01;Puffin Books;Historical;Historical Fiction, Young Adult, Fiction, Historical, Childrens, Middle Grade, Childrens, Academic, School, Mystery, Adventure, European Literature, British Literature;http://images.amazon.com/images/P/0141305959.01.LZZZZZZZ.jpg;;;;8.5;6.0;
0141310944;The Dreadful Future of Blossom Culp;Richard Peck;2001-01-01;Puffin Books;Young Adult;Fantasy, Fiction, Historical, Historical Fiction, Science Fiction, Time Travel, Childrens, Fantasy, Supernatural, Fantasy, Paranormal, Historical, Mystery;http://images.amazon.com/images/P/0141310944.01.LZZZZZZZ.jpg;;;9.0;;;
0141314575;The Outsiders (Puffin Modern Classics);S.E. Hinton;2003-01-01;Puffin Books;Classics;Young Adult, Fiction, Academic, School, Academic, Read For School, Realistic Fiction, Young Adult, Coming Of Age, Historical, Historical Fiction, Contemporary, Young Adult, Teen;http://images.amazon.com/images/P/0141314575.01.LZZZZZZZ.jpg;;10.0;;;;
0141439491;Gulliver's Travels (Penguin Classics);Jonathan Swift;2003-01-01;Penguin Books;Classics;Fiction, Fantasy, Adventure, Literature, Novels, Classics, Classic Literature, Literature, 18th Century, Academic, School, European Literature, British Literature;http://images.amazon.com/images/P/0141439491.01.LZZZZZZZ.jpg;;8.0;9.0;;;
0141439564;Great Expectations (Penguin Classics);Charles Dickens;2003-01-01;Penguin Books;Classics;Fiction, Literature, Historical, Historical Fiction, Academic, School, Novels, Literature, 19th Century, Classics, Classic Literature, European Literature, British Literature, Historical, Victorian;http://images.amazon.com/images/P/0141439564.01.LZZZZZZZ.jpg;;;;;10.0;
0141439610;The Woman in White (Penguin Classics);Wilkie Collins;2003-01-01;Penguin Books;Classics;Mystery, Fiction, Gothic, Horror, Literature, 19th Century, Historical, Victorian, Historical, Historical Fiction, Literature, Thriller, Mystery Thriller;http://images.amazon.com/images/P/0141439610.01.LZZZZZZZ.jpg;;7.0;;;;8.0
0141439629;The Mill on the Floss (Penguin Classics);George Eliot;2003-01-01;Penguin Books;Classics;Fiction, Literature, 19th Century, Literature, Historical, Victorian, Historical, Historical Fiction, European Literature, British Literature, Novels, Classics, Classic Literature, Literature, English Literature;http://images.amazon.com/images/P/0141439629.01.LZZZZZZZ.jpg;;9.0;;;;10.0
0141439653;Far from the Madding Crowd (Penguin Classics);Thomas Hardy;2003-01-01;Penguin Books;Classics;Fiction, Romance, Historical, Historical Fiction, Literature, 19th Century, Literature, Historical, Victorian, European Literature, British Literature, Novels, Classics, Classic Literature;http://images.amazon.com/images/P/0141439653.01.LZZZZZZZ.jpg;;;;;;10.0
0141439688;Persuasion (Penguin Classics);Jane Austen;2003-01-01;Penguin Books;Classics;Fiction, Romance, Historical, Historical Fiction, Literature, Historical, Literature, 19th Century, Audiobook, Classics, Classic Literature, Romance, Historical Romance;http://images.amazon.com/images/P/0141439688.01.LZZZZZZZ.jpg;;;;;9.0;
0141439769;Alice's Adventures in Wonderland and Through the Looking-Glass: And What Alice Found There (Penguin Classics);Lewis Carroll;2003-01-01;Penguin Books;Classics;Fantasy, Fiction, Childrens, Young Adult, Literature, Adventure, Childrens, Middle Grade, Novels, Literature, 19th Century;http://images.amazon.com/images/P/0141439769.01.LZZZZZZZ.jpg;;9.0;;;;
0141439823;Robinson Crusoe (Penguin Classics);Daniel Defoe;2003-01-01;Penguin Books;Classics;Fiction, Adventure, Literature, Historical, Historical Fiction, Novels, Literature, 18th Century, Classics, Classic Literature, Academic, School, European Literature, British Literature;http://images.amazon.com/images/P/0141439823.01.LZZZZZZZ.jpg;;;;;7.0;
0141439831;Vanity Fair (Penguin Classics);William Makepeace Thackeray;2003-01-01;Penguin Books;Classics;Fiction, Historical, Historical Fiction, Literature, Literature, 19th Century, Romance, European Literature, British Literature, Historical, Victorian, Classics, Classic Literature, Novels;http://images.amazon.com/images/P/0141439831.01.LZZZZZZZ.jpg;;;10.0;;;
0142000205;Icy Sparks;Gwyn Hyman Rubio;2001-01-01;Penguin Books;Fiction;Historical, Historical Fiction, Adult Fiction, Contemporary, Young Adult, Coming Of Age, Novels, Womens Fiction, Chick Lit, Book Club, Historical, Literary Fiction;http://images.amazon.com/images/P/0142000205.01.LZZZZZZZ.jpg;;7.181818181818182;7.82258064516129;;7.0;7.5
0142000213;Bridget Jones's Guide to Life;Helen Fielding;2001-01-01;Penguin Books;Womens Fiction;Chick Lit, Fiction, Humor, Romance, Contemporary, Adult, Modern, Novels, Adult Fiction, European Literature, British Literature;http://images.amazon.com/images/P/0142000213.01.LZZZZZZZ.jpg;;9.666666666666666;;;;
0142000272;Anna Karenina: A Novel in Eight Parts;Leo Tolstoy;2001-01-01;Penguin Books;Classics;Fiction, Romance, Cultural, Russia, Historical, Historical Fiction, Literature, Russian Literature, Literature, Novels, Literature, 19th Century, Historical;http://images.amazon.com/images/P/0142000272.01.LZZZZZZZ.jpg;;9.0;10.0;;;
0142000280;Getting Things Done: The Art of Stress-Free Productivity;David Allen;2003-01-01;Penguin Books;Nonfiction;Business, Productivity, Self Help, Self Help, Personal Development, Business, Management, Psychology, Leadership, Reference, Audiobook;http://images.amazon.com/images/P/0142000280.01.LZZZZZZZ.jpg;;;;;;8.0
0142000671;Of Mice and Men;John Steinbeck;2002-01-01;Penguin Books;Classics;Fiction, Academic, School, Historical, Historical Fiction, Literature, Academic, Read For School, Novels, Young Adult, High School, Literature, American, Historical;http://images.amazon.com/images/P/0142000671.01.LZZZZZZZ.jpg;8.0;7.5;;;;
014200068X;Cannery Row;John Steinbeck;2002-01-01;Penguin Books;Classics;Fiction, Literature, Historical, Historical Fiction, Literature, American, Novels, Literary Fiction, Classics, Classic Literature, Literature, 20th Century, The United States Of America;http://images.amazon.com/images/P/014200068X.01.LZZZZZZZ.jpg;8.0;7.0;;;;
0142000698;The Pearl;John Steinbeck;2002-01-01;Penguin Books;Classics;Fiction, Literature, Academic, School, Historical, Historical Fiction, Literature, American, Novels, Academic, Read For School, Novella, Short Stories;http://images.amazon.com/images/P/0142000698.01.LZZZZZZZ.jpg;8.0;;;;;
0142000701;Travels With Charley: In Search of America;John Steinbeck;2002-01-01;Penguin Books;Nonfiction;Travel, Classics, Autobiography, Memoir, Biography, Literature, Biography Memoir, Literature, American, Adventure, History;http://images.amazon.com/images/P/0142000701.01.LZZZZZZZ.jpg;8.0;;;;;
